bucket_end,num_points,loss_mean,hm_loss_mean,reg_loss_mean
100,10,4.89095,2.9634799999999997,1.9337
200,10,3.59559,2.34333,1.2380099999999998
300,10,3.0240099999999996,2.09801,0.9074099999999999
400,10,2.5254600000000003,1.82961,0.67822
500,10,2.1592100000000007,1.5670899999999999,0.5841900000000001
600,10,1.8764399999999999,1.33707,0.51779
700,10,1.7825099999999998,1.25199,0.49846
800,10,1.6786100000000002,1.19928,0.47684
900,10,1.58633,1.0797599999999998,0.48745000000000005
1000,10,1.45513,0.94568,0.44225000000000003
1100,10,1.38439,0.92225,0.45212
1200,10,1.3145,0.88887,0.42279999999999995
1300,10,1.37022,0.8919,0.45522
1400,10,1.26627,0.8199099999999999,0.41342
1500,10,1.0998499999999998,0.7242599999999999,0.39272
1600,10,1.11575,0.70318,0.39551000000000003
1700,10,1.09454,0.66716,0.39602999999999994
1800,10,1.10172,0.69999,0.38777
1900,10,1.02646,0.6668100000000001,0.36754
2000,10,1.0335800000000002,0.65818,0.35037999999999997
2100,10,0.9214300000000002,0.54767,0.35736
2200,10,0.94895,0.5473800000000001,0.37033
2300,10,0.8972299999999999,0.50665,0.38961999999999997
2400,10,0.90114,0.51921,0.35498999999999997
2500,10,0.8931100000000001,0.54786,0.34305
2600,10,0.82025,0.46729000000000004,0.34949
2700,10,0.7863299999999999,0.47097999999999995,0.34588
2800,10,0.7881400000000001,0.43442,0.33689
2900,10,0.82882,0.47336,0.34928
3000,10,0.80275,0.45797999999999994,0.33031
3100,10,0.7860199999999999,0.45997000000000005,0.33816999999999997
3200,10,0.7811200000000001,0.43826,0.33499999999999996
3300,10,0.718,0.38027,0.33237
3400,10,0.76319,0.43754,0.33713999999999994
3500,10,0.75545,0.43066000000000004,0.32324
3600,10,0.64338,0.32874000000000003,0.29938000000000003
3700,10,0.76246,0.43329000000000006,0.32794
3800,10,0.7611,0.4333,0.32428999999999997
3900,10,0.6844699999999999,0.34959,0.32905
4000,10,0.6671999999999999,0.32537999999999995,0.33244999999999997
4100,10,0.67569,0.32754,0.328
4200,10,0.6589599999999999,0.33358999999999994,0.31252
4300,10,0.7196499999999999,0.38223,0.31791
4400,10,0.6372500000000001,0.32328999999999997,0.30829
4500,10,0.69263,0.37462,0.31216000000000005
4600,10,0.59188,0.26897,0.3013
4700,10,0.60619,0.30179,0.29484
4800,10,0.6014299999999999,0.29638,0.31079
4900,10,0.6111,0.30933,0.3045
5000,10,0.6140100000000001,0.2946100000000001,0.29954000000000003
5100,10,0.5903700000000001,0.29333,0.30132
5200,10,0.60078,0.30011,0.29825
5300,10,0.59381,0.27781,0.30283
5400,10,0.5854900000000001,0.28529,0.28831999999999997
5500,10,0.6194900000000001,0.31220000000000003,0.29937
5600,10,0.65144,0.31725000000000003,0.32269000000000003
5700,10,0.5944200000000001,0.29472,0.30123
5800,10,0.5562100000000001,0.26826000000000005,0.2896
5900,10,0.5685300000000001,0.25273,0.29303
6000,10,0.5511299999999999,0.25644,0.29402000000000006
6100,10,0.57028,0.27698,0.28603
6200,10,0.59695,0.29539,0.29263
6300,10,0.5208,0.21125000000000002,0.29449000000000003
6400,10,0.40280000000000005,0.16321,0.23487
6500,10,0.35143,0.11026,0.23881999999999998
6600,10,0.36989999999999995,0.13284,0.23610000000000003
6700,10,0.35062999999999994,0.12567,0.22902999999999998
6800,10,0.33508,0.10117000000000001,0.22524000000000002
6900,10,0.34299,0.10166,0.23552999999999996
7000,10,0.35405,0.10167999999999999,0.22788000000000003
7100,10,0.32507,0.08131,0.22977000000000003
7200,10,0.30469999999999997,0.07965,0.23228
7300,10,0.32072,0.08069000000000001,0.22544
7400,10,0.30077,0.06975999999999999,0.21816
7500,10,0.31960999999999995,0.08336,0.22453000000000004
7600,10,0.30324000000000007,0.07027,0.22332999999999997
7700,10,0.30500000000000005,0.06921999999999999,0.2258
7800,10,0.31271,0.08996000000000001,0.21269
7900,10,0.30925,0.0731,0.21539999999999998
8000,10,0.30258999999999997,0.07095,0.22681999999999997
8100,10,0.3116199999999999,0.0802,0.20833
8200,10,0.28659,0.0495,0.22906000000000004
8300,10,0.30291999999999997,0.07164999999999999,0.21983000000000003
8400,10,0.28651,0.057069999999999996,0.22018
8500,10,0.28734000000000004,0.06960000000000002,0.21543
8600,10,0.30163,0.07182,0.21783999999999998
8700,10,0.2814,0.06049,0.21538
8800,10,0.29206999999999994,0.06462999999999999,0.22329999999999997
8900,10,0.28656,0.06211,0.21463000000000002
9000,10,0.28976999999999997,0.06212000000000001,0.21596
9100,10,0.28184,0.049760000000000006,0.22419000000000003
9200,10,0.28543999999999997,0.0475,0.22775000000000004
9300,10,0.2879,0.05893,0.22008999999999998
9400,10,0.29147,0.06301999999999999,0.21186
9500,10,0.27544,0.050129999999999994,0.22305999999999998
9600,10,0.28174,0.055859999999999986,0.22008
9700,10,0.28120999999999996,0.055589999999999994,0.21764
9800,10,0.27555999999999997,0.045149999999999996,0.21446
9900,10,0.28285000000000005,0.05164,0.21872000000000003
10000,10,0.28715999999999997,0.05658,0.21532
10100,10,0.26655999999999996,0.04044,0.21368
10200,10,0.26151,0.05141,0.20722000000000002
10300,10,0.27364,0.056389999999999996,0.21403
10400,10,0.25846,0.041550000000000004,0.20245000000000002
10500,10,0.25304,0.03963,0.20504000000000003
10600,10,0.25067999999999996,0.033460000000000004,0.2045
10700,10,0.26572,0.04981,0.20468000000000003
10800,10,0.25917,0.03584,0.20991999999999997
10900,10,0.26653,0.041190000000000004,0.20499
11000,10,0.25740999999999997,0.0433,0.20695999999999998
11100,10,0.27077,0.045590000000000006,0.20953999999999998
11200,10,0.26362,0.03125,0.21378
11300,10,0.26105999999999996,0.036800000000000006,0.21026000000000003
11400,10,0.2666700000000001,0.05697,0.20834000000000003
11500,10,0.24212000000000003,0.0274,0.20305
11600,10,0.26938999999999996,0.04527,0.20550000000000002
11700,10,0.24259999999999998,0.03263,0.19929000000000002
11800,10,0.24464000000000002,0.034730000000000004,0.20549999999999996
11900,10,0.25022999999999995,0.031079999999999997,0.20732
12000,10,0.25028,0.04264,0.19987000000000002
12100,10,0.24476,0.029390000000000006,0.2032
12200,10,0.25017999999999996,0.02851,0.21133999999999994
12300,10,0.25856,0.0393,0.20438
12400,10,0.26209000000000005,0.04214,0.19923000000000002
12500,10,0.25721000000000005,0.04155,0.19895000000000002
12600,10,0.25023,0.03577,0.19982
12700,10,0.26228,0.04834000000000001,0.20323000000000002
12800,10,0.25012,0.02386,0.20636000000000002
12900,10,0.24669999999999997,0.03267,0.20118999999999998
13000,10,0.25393,0.04072,0.19211
13100,10,0.25539999999999996,0.039529999999999996,0.20135999999999998
13200,10,0.25455,0.028610000000000003,0.21430000000000002
13300,10,0.25897,0.03231,0.20112000000000002
13400,10,0.25813,0.03315,0.2068
13500,10,0.2493,0.032580000000000005,0.20579
13600,10,0.24502000000000002,0.028740000000000005,0.20581
13700,10,0.24282000000000004,0.030690000000000002,0.20242
13800,10,0.25762,0.03577,0.21041000000000004
13900,10,0.25014,0.033069999999999995,0.20606
14000,10,0.24401,0.029160000000000002,0.20110999999999998
14100,10,0.24776999999999996,0.032589999999999994,0.20228000000000002
14200,10,0.2432,0.03491,0.19828
14300,10,0.24808,0.0354,0.20426000000000002
14400,10,0.25207,0.028810000000000002,0.20946000000000004
14500,10,0.25609000000000004,0.03579,0.20391000000000004
14600,10,0.24947,0.03009,0.20591999999999996
14700,10,0.25004,0.04071999999999999,0.20049999999999998
14800,10,0.26036000000000004,0.04127,0.20103999999999997
14900,10,0.25143,0.036320000000000005,0.2021
15000,10,0.24852,0.03537,0.20134
